feature,dataset,delta,lo,hi
Right tool speed,BAPES2024,0.47058823529411764,-0.23529411764705882,1.0
Right tool speed,6DOF2023,0.2222222222222222,-0.37037037037037035,0.7777777777777778
Right tool speed,7DOF2024,0.46365914786967416,0.10263157894736842,0.7694235588972431
Left tool speed,BAPES2024,0.5,-0.2654411764705882,1.0
Left tool speed,6DOF2023,0.07407407407407407,-0.5194444444444444,0.7416666666666658
Left tool speed,7DOF2024,0.38345864661654133,0.01741854636591479,0.6942355889724311
Bimanual correlation,BAPES2024,0.4117647058823529,-0.29411764705882354,1.0
Bimanual correlation,6DOF2023,-0.14814814814814814,-0.7777777777777778,0.5555555555555556
Bimanual correlation,7DOF2024,0.5288220551378446,0.18796992481203006,0.7997493734335838
Right tool stop-start peaks,BAPES2024,0.3235294117647059,-0.4419117647058823,0.9117647058823529
Right tool stop-start peaks,6DOF2023,0.2222222222222222,-0.4074074074074074,0.7777777777777778
Right tool stop-start peaks,7DOF2024,0.45864661654135336,0.13283208020050125,0.7520050125313281
Left tool stop-start peaks,BAPES2024,0.3235294117647059,-0.5007352941176471,0.9411764705882353
Left tool stop-start peaks,6DOF2023,0.37037037037037035,-0.2222222222222222,0.889814814814814
Left tool stop-start peaks,7DOF2024,0.44110275689223055,0.07268170426065163,0.7494987468671678
Analysed duration,BAPES2024,0.38235294117647056,-0.47058823529411764,0.9705882352941176
Analysed duration,6DOF2023,0.2962962962962963,-0.3333333333333333,0.8148148148148148
Analysed duration,7DOF2024,0.47869674185463656,0.14786967418546365,0.7493734335839599
Right tool depth range,BAPES2024,-0.20588235294117646,-0.8823529411764706,0.5294117647058824
Right tool depth range,6DOF2023,-0.48148148148148145,-1.0,0.18518518518518517
Right tool depth range,7DOF2024,-0.37343358395989973,-0.7045112781954888,-0.022556390977443608
