skill_category,phase,n_trials,mean_fraction,ci_low,ci_high
expert,dropped,13,0.0032817445805510023,0.0,0.007169367647976989
expert,idle,13,0.03470974466434072,0.021452542600950437,0.049264162164491775
expert,active1,13,0.0,0.0,0.0
expert,active2,13,0.0,0.0,0.0
expert,transfer,13,0.286860806331103,0.21271746031310187,0.3500414969360202
expert,place,13,0.3315762725924012,0.29056076161408195,0.3756211675337971
expert,grasp,13,0.13664443229267087,0.11697067552680984,0.1580611768405519
expert,reach,13,0.17887888507026897,0.16172897787677873,0.19625276708345085
expert,nudge,13,0.02804811446866428,0.018417527012453392,0.0385352844311838
intermediate,dropped,9,0.0020357287263343036,0.0005140066820868671,0.003772565709507457
intermediate,idle,9,0.04690651359583262,0.035785545137860995,0.057908686010548965
intermediate,active1,9,0.0,0.0,0.0
intermediate,active2,9,0.0,0.0,0.0
intermediate,transfer,9,0.2916955450368333,0.21176998348410092,0.3420442979604823
intermediate,place,9,0.3228310284306484,0.28248570711722043,0.36699889724984497
intermediate,grasp,9,0.14027477448808673,0.11291882445431675,0.17480857196349225
intermediate,reach,9,0.16174108770157322,0.13532074562555016,0.185591989939403
intermediate,nudge,9,0.034515322020691346,0.02428755041242684,0.04502943912146738
novice,dropped,12,0.0017370348657187458,0.0002821670428893905,0.0032989161642641165
novice,idle,12,0.032488503311202115,0.02471049050225703,0.041689781566996674
novice,active1,12,0.0,0.0,0.0
novice,active2,12,0.0,0.0,0.0
novice,transfer,12,0.32562627065469996,0.3089926171556426,0.342253663901653
novice,place,12,0.3325447097930767,0.3141083832884708,0.3536370969958957
novice,grasp,12,0.13125037260593608,0.11878101120890072,0.1435458540047876
novice,reach,12,0.1554831274418424,0.12965532306806185,0.17818568165798385
novice,nudge,12,0.020869981327523962,0.0134675390962613,0.028250321998084943
