feature,label,n_recordings,coefficient,ci_low,ci_high,permutation_p,q_value
grasp_duration_cv,Grasp-duration variability,34,0.025388257553905995,-0.36133752529949686,0.3559968477908509,0.9053094690530947,0.9293070692930707
transport_place_duration_cv,Transport-duration variability,34,-0.10326848555360506,-0.48440491575904904,0.34213476690631467,0.6343365663433657,0.7929207079292071
reach_active_path_efficiency,Active-tool reach efficiency,34,-0.4624756731313915,-0.9086114864139977,-0.1146660832984732,0.026597340265973404,0.132986701329867
transport_place_active_path_efficiency,Active-tool transport efficiency,34,-0.2661384386901119,-0.706310749829684,0.08338982303982634,0.21187881211878812,0.46455354464553544
transport_place_maximum_bimanual_correlation,Transport speed synchrony,34,0.1223033865225573,-0.2606455343375483,0.602223571524614,0.5768423157684232,0.7929207079292071
transport_place_bimanual_lag_s,Transport synchrony lag,34,0.3585338673912162,0.027956373961577317,0.6779577709217851,0.0892910708929107,0.297636902976369
transport_place_support_motion_ratio,Supporting-tool motion ratio,34,0.25257721638714814,-0.12903469742208026,0.6537861398622715,0.23227677232276772,0.46455354464553544
transport_place_terminal_slowing_mm_s,Terminal placement slowing,34,-0.019727318031989044,-0.5097235729875582,0.3112357849698975,0.9293070692930707,0.9293070692930707
transport_place_speed_peaks_per_s,Transport stop-start rate,34,0.5790049978666756,0.23412577180258698,0.9830153962789764,0.003999600039996,0.03999600039996
mean_phase_transitions,Phase transitions per cycle,34,-0.22137453561072162,-0.65408800377926,0.22402568886446134,0.3043695630436956,0.507282605072826
